Company;Job;Field;Online Since
KASTNER Service GesmbH ;Junior SoftwareentwicklerIn;IT;2024/10
XINGER SOLUTIONS;Java -script EntwicklerIn;IT;2024/09
Quality Software & Consulting GmbH & Co KG;Frontend Developer Web Mobile Desktop;IT;2024/09
Quality Software & Consulting GmbH & Co KG;Software EntwicklerIn JAVA.NET;IT;2024/09
X-WORKS GmbH;Software-EntwicklerIn;IT;2024/08
Multidata Software International Vertriebs GmbH;Erfahrene ApplikationsentwicklerIn;;2024/06
